Word,Concreteness_Rating
a,1.460
aah,0
Aaron,0
aback,1.650
abacus,4.520
abandon,2.540
abandoned,2.520
abandoning,0
abandonment,2.540
abase,0
abasement,1.670
abash,0
abate,0
abated,0
abbess,0
abbey,0
abbot,0
abbreviate,2.590
abbreviated,3.100
abbreviation,3.070
abbreviations,0
abdicate,2.080
abdomen,4.700
abdominal,4.280
abduct,2.880
abduction,3.070
Abe,0
abed,0
Abel,0
Abel's,0
aberrant,0
aberration,0
aberrations,0
abet,0
abetted,0
abeyance,0
abhor,1.810
abhorred,0
abhorrent,0
abide,1.680
abides,0
abiding,2.070
Abigail,0
abilities,0
ability,1.810
abject,1.670
ablaze,3.820
able,2.380
ably,1.780
abnormal,2.140
abnormalities,0
abnormality,2.480
abnormally,1.750
aboard,3.970
abode,3.920
abolish,2.190
abolished,0
abolition,2.430
abolitionist,3.280
abolitionists,0
abominable,1.890
abominate,1.680
aboriginal,3.120
aborigine,0
aborigines,0
abort,2.830
abortion,3.410
abortionist,3.190
abortions,0
abortive,1.880
abound,2.270
abounded,0
abounding,2.040
abounds,0
about,1.770
above,3.330
aboveground,4.030
abracadabra,2.040
Abraham,0
abrasion,4.570
abrasive,3.030
abreast,2.230
abridged,1.770
abridgment,2.670
abroad,2.720
abrogate,0
abrogated,0
abrupt,2.270
abruptly,2.360
abruptness,2.040
abscess,4.480
abscesses,0
abscissa,0
abscond,0
absence,2.310
absences,0
absent,2.700
absented,0
absentee,3.290
absenteeism,2.350
absently,1.710
absentmindedly,1.760
absinth,0
absolute,1.810
absolutely,1.970
absoluteness,1.500
absolutes,0
absolution,1.780
absolutism,1.460
absolve,1.850
absorb,3.110
absorbed,2.440
absorbency,2.970
absorbent,3.100
absorber,2.960
absorbing,3.330
absorbs,0
absorption,3.220
absorptions,0
absorptive,0
abstain,2.380
abstaining,0
abstention,2.160
abstinence,1.720
abstinent,1.770
abstract,1.450
abstracted,1.480
abstractedness,1.590
abstracting,0
abstraction,1.570
abstractionism,1.750
abstractionists,0
abstractions,0
abstractive,1.600
abstractly,1.360
abstractors,0
abstracts,0
abstruse,0
absurd,1.640
absurdities,0
absurdity,1.250
absurdly,1.550
abundance,2.210
abundant,2.830
abuse,2.710
abused,0
abuses,0
abusive,2.550
abut,0
abutment,0
abutments,0
abysmal,0
abyss,3.070
acacia,0
academic,2.110
academically,1.900
academicianship,0
academics,0
academies,0
academy,4.290
Acadia,0
Acapulco,0
accede,0
acceded,0
accelerando,0
accelerate,3.480
accelerated,3.180
accelerating,0
acceleration,2.970
accelerations,0
accelerator,4.320
accelerators,0
accelerometer,4.080
accelerometers,0
accent,3.260
accented,0
accenting,0
accents,0
accentual,0
accentuate,2.000
accentuated,0
accentuates,0
accept,3.030
acceptable,1.930
acceptance,2.210
accepted,2.280
accepting,0
accepts,0
access,2.710
accesses,0
accessible,1.800
accessions,0
accessories,0
accessors,0
accessory,4.100
accident,3.260
accidental,2.170
accidentally,1.710
accidents,0
acclaim,2.040
acclaimed,0
acclaims,0
acclamation,2.230
acclimate,1.790
acclimatized,0
accolade,2.460
accolades,0
accommodate,1.860
accommodated,0
accommodates,0
accommodating,1.770
accommodation,2.960
accommodations,0
accompanied,0
accompanies,0
accompaniment,2.260
accompaniments,0
accompanist,0
accompanists,0
accompany,3.070
accompanying,0
accomplice,3.340
accomplices,0
accomplish,2.330
accomplished,1.700
accomplishes,0
accomplishing,0
accomplishment,2.500
accomplishments,0
accord,1.570
accordance,1.540
accorded,0
according,1.630
accordingly,1.580
accordion,4.860
accords,0
accost,0
accosted,2.520
accosting,0
account,3.080
accountability,1.550
accountable,2.210
accountant,4.410
accountants,0
accounted,0
accounting,3.270
accounts,0
accredit,2.150
accreditation,2.680
accredited,2.270
accrue,1.610
accrued,0
accrues,0
accruing,0
acculturated,0
acculturation,0
accumulate,3.000
accumulated,0
accumulates,0
accumulating,0
accumulation,2.970
accuracy,1.850
accurate,1.900
accurately,2.390
accurst,0
accusation,2.380
accusations,0
accusative,1.600
accuse,2.250
accused,2.930
accuses,0
accusing,0
accusingly,1.570
accustom,1.480
accustomed,2.070
ace,3.920
acerbic,0
aces,0
acetate,0
acetone,4.420
acetylene,3.580
ache,3.430
ached,0
aches,0
achieve,2.290
achieved,0
achievement,2.370
achievements,0
achieves,0
achieving,0
Achilles,0
aching,2.720
acid,4.250
acidic,3.540
acidity,3.400
acids,0
acknowledge,2.030
acknowledged,2.190
acknowledgement,2.620
acknowledges,0
acknowledging,0
acknowledgment,0
acknowledgments,0
acme,0
acne,4.890
acolyte,0
acorn,4.960
acorns,0
acoustic,3.280
acoustical,2.420
acoustically,2.500
acoustics,3.120
acquaint,1.520
acquaintance,3.410
